vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
10/24/21,0.000397,0,0,0,0,0,317.91,0,220.2,180.94,141.69
10/25/21,0.036782,0,0,0,0,23727.62,11624.06,6457.8,8051.24,16765.5,13128.86
10/26/21,0.002646,0,0,0,0,0,2119.4,0,1467.97,1206.24,944.59
10/27/21,0.000448,0,0,0,0,0,358.68,0,248.43,204.14,159.85
10/28/21,0.001063,0,0,0,0,0,851.31,0,589.65,484.52,379.42
10/29/21,0.00113,0,0,0,0,0,904.97,0,626.81,515.05,403.33
10/30/21,0.00113,0,0,0,0,0,904.97,0,626.81,515.05,403.33
10/31/21,0.002202,0,0,0,0,0,1763.13,0,1221.2,1003.47,785.8
11/1/21,0,0,0,0,0,0,0,0,0,0,0
11/2/21,0.001173,0,0,0,0,0,939.66,0,650.85,534.8,418.8
11/3/21,0.000413,0,0,0,0,0,330.58,0,228.98,188.15,147.34
11/4/21,0.000475,0,0,0,0,0,380.76,0,263.73,216.71,169.7
11/5/21,0.000484,0,0,0,0,0,387.97,0,268.72,220.81,172.91
11/6/21,0.000365,0,0,0,0,0,292.25,0,202.42,166.34,130.25
11/7/21,0.000365,0,0,0,0,0,292.25,0,202.42,166.34,130.25
11/8/21,0.000365,0,0,0,0,0,292.25,0,202.42,166.34,130.25
11/9/21,0.000335,0,0,0,0,0,268.65,0,186.08,152.9,119.73
11/10/21,0.000992,0,0,0,0,0,794.18,0,550.08,452,353.95
11/11/21,0.001197,0,0,0,0,0,958.15,0,663.65,545.32,427.04
11/12/21,0.001176,0,0,0,0,0,941.58,0,652.17,535.89,419.65
11/13/21,0.001395,0,0,0,0,0,1117.08,0,773.73,635.78,497.87
11/14/21,0.003775,0,0,0,0,0,3022.93,0,2093.79,1720.48,1347.28
11/15/21,0,0,0,0,0,0,0,0,0,0,0
11/16/21,0.003775,0,0,0,0,0,3022.93,0,2093.79,1720.48,1347.28
11/17/21,0.00158,0,0,0,0,0,1264.72,0,875.99,719.81,563.67
11/18/21,0.005422,0,0,0,0,0,4342.27,0,3007.62,2471.37,1935.3
11/19/21,0.001832,0,0,0,0,0,1467.35,0,1016.34,835.13,653.98
11/20/21,0.000745,0,0,0,0,0,614.35,0,425.52,322.61,252.64
11/21/21,0.002129,0,0,0,0,0,1915.1,0,1326.46,771.36,604.04
11/22/21,0.004426,0,0,0,0,0,3977.59,0,2755.03,1606.14,1257.76
11/23/21,0,0,0,0,0,0,0,0,0,0,0
11/24/21,0.003149,0,0,0,0,0,2828.83,0,1959.35,1143.55,895.5
11/25/21,0.00896,0,0,0,0,0,8953.98,0,6210.51,2391.29,1872.61
11/26/21,0.003694,0,0,0,0,0,4000.29,0,2099.13,1071.11,838.77
11/27/21,0,0,0,0,0,0,0,0,0,0,0
11/28/21,0.01223,0,0,0,0,0,12412.5,0,7091.32,3934.49,3081.05
11/29/21,0.003874,0,0,0,0,0,4394.98,0,2370.88,916.81,717.94
11/30/21,0.003268,0,0,0,0,0,3766.29,0,1966.53,759.07,594.42
12/1/21,0.00359,0,0,0,0,0,4105.96,0,2024.29,927.33,726.18
12/2/21,0.00391,0,0,0,0,4384.62,0,1631.68,708.23,983.36,770.06
12/3/21,0.003464,0,0,0,0,3862.63,0,1492.37,647.76,845.72,662.27
12/4/21,0.003978,0,0,0,0,4262.84,0,1823.06,791.29,980.5,767.81
12/5/21,0.004289,0,0,0,0,4528.69,0,2177.51,945.14,923.99,723.57
12/6/21,0.002032,0,0,0,0,0,0,4405.89,0,0,0
12/7/21,0.004215,0,0,0,0,6994.56,0,0,0,1202.55,941.7
12/8/21,0.001432,0,0,0,0,0,0,3104.96,0,0,0
12/9/21,0.004057,0,0,0,0,5024.87,0,2682.04,0,611.9,479.17
12/10/21,0.003641,0,0,0,0,3916.67,0,3086.25,0,500.19,391.7
12/11/21,0.003678,0,0,0,0,4964.84,0,1100.73,0,1070.17,838.04
12/12/21,0.001358,0,0,0,0,2349.94,0,0,0,333.29,260.99
12/13/21,0.001862,0,0,0,0,0,0,4037.94,0,0,0
12/14/21,0.00482,0,0,0,0,7118.57,0,1767.35,0,877.86,687.44
12/15/21,0.002321,0,0,0,0,3053.05,0,1249.3,0,409.74,320.86
12/16/21,0.002732,0,0,0,0,3094.65,0,2244.22,0,328.08,256.92
12/17/21,0.004709,0,0,0,0,7796.05,0,1633.36,0,437.96,342.97
12/18/21,0.003804,0,0,0,0,6211.12,0,1468.63,0,318.81,249.66
12/19/21,0.002932,0,0,0,0,5781.29,0,0,0,322.72,252.71
12/20/21,0.001203,0,0,0,0,0,0,2607.25,0,0,0
12/21/21,0.006118,0,0,0,0,9387.59,0,1505.31,0,1330.35,1041.77
12/22/21,0.004202,0,0,0,0,6326.82,0,1567.43,0,682.62,534.55
12/23/21,0.004094,0,0,0,0,6149.19,0,2102.52,0,350.79,274.7
12/24/21,0.005764,0,0,0,0,9671.3,0,1908.59,0,515.24,403.48
12/25/21,0.005092,0,0,0,0,7354.66,0,2779.08,0,508.84,398.46
12/26/21,0.006438,0,0,0,0,10757.83,0,1659.22,0,864.31,676.83
12/27/21,0.004674,0,0,0,0,8457.1,0,911.86,0,429.21,336.12
12/28/21,0.002382,0,0,0,0,3905.57,0,946.68,0,175.92,137.75
12/29/21,0.002961,0,0,0,0,4134.84,0,1823.02,0,259.66,203.33
12/30/21,0.003637,0,0,0,0,7075.2,0,0,0,455.1,356.38
12/31/21,0,0,0,0,0,0,0,0,0,0,0
1/1/22,0.041109,0,0,0,0,53242.53,0,23510.42,0,6946.07,5439.38
1/2/22,0,0,0,0,0,0,0,0,0,0,0
1/3/22,0.007193,0,0,0,0,11578.4,0,3000.82,0,570.29,446.59
1/4/22,0.00256,0,0,0,0,4497.72,0,809.81,0,136.55,106.93
1/5/22,0.001477,0,0,0,0,2239.2,0,634.82,0,183.88,143.99
1/6/22,0.003116,0,0,0,0,5027.94,0,1068.88,0,369.75,289.54
1/7/22,0.003411,0,0,0,0,5548.59,0,1317.18,0,297.56,233.02
1/8/22,0.003095,0,0,0,0,5048.65,0,1186.07,0,266.53,208.72
1/9/22,0,0,0,0,0,0,0,0,0,0,0
1/10/22,0.006067,0,0,0,0,9475.34,0,2637.8,0,584.14,457.43
1/11/22,0.001419,0,0,0,0,2369.62,0,542.66,0,92.07,72.1
1/12/22,0.001622,0,0,0,0,2645.87,0,619.36,0,141.65,110.92
1/13/22,0.001896,0,0,0,0,3005.97,0,800.06,0,171.18,134.04
1/14/22,0,0,0,0,0,0,0,0,0,0,0
1/15/22,0,0,0,0,0,0,0,0,0,0,0
1/16/22,0.005083,0,0,0,0,6752.88,1151.73,1498.78,650.54,543.67,425.74
1/17/22,0.000969,0,0,0,0,372.94,1151.73,305.14,132.44,77.33,60.56
1/18/22,0.000974,0,0,0,0,457.67,1151.73,274.22,119.03,61.24,47.96
1/19/22,0.000614,0,0,0,0,1000.77,0,166.45,72.25,51.45,40.29
1/20/22,0.001689,0,0,0,0,2558.12,0,513.94,223.07,206.54,161.73
1/21/22,0.001527,0,0,0,0,2469.03,0,435.36,188.97,121.75,95.34
1/22/22,0.001897,0,0,0,0,2923.65,0,557.8,242.11,218.51,171.11
1/23/22,0,0,0,0,0,0,0,0,0,0,0
1/24/22,0,0,0,0,0,0,0,0,0,0,0
1/25/22,0.003141,0,0,0,0,5032.72,0,908.89,394.5,266.89,209
1/26/22,0.001035,0,0,0,0,1706.44,0,256.29,111.24,95.62,74.87
1/27/22,0.00134,0,0,0,0,1963.94,0,362.67,157.42,235.64,184.53
1/28/22,0.00153,0,0,0,119.15,2399.12,0,385.87,167.49,137.94,108.02
1/29/22,0.001338,0,0,0,68.25,2105.35,0,362.15,157.2,117.01,91.64
1/30/22,0.001673,0,0,0,947.12,1918.53,0,374.93,162.74,126.18,98.81
1/31/22,0,0,0,0,0,0,0,0,0,0,0
2/1/22,0.005072,0,0,0,3017.43,6156.9,0,944.78,410.08,262.93,205.89
2/2/22,0.001491,0,0,0,1163.95,1537.29,0,251.27,109.06,96.2,75.34
2/3/22,0.002328,0,0,0,1988.8,2302.99,0,379.54,164.74,119.16,93.31
2/4/22,0.002315,0,0,0,1693.57,2434.19,0,419.71,182.17,162.08,126.93
2/5/22,0,0,0,0,0,0,0,0,0,0,0
2/6/22,0.003283,0,0,913.83,1105,3867.06,0,624.72,271.16,187.92,147.16
2/7/22,0.003283,0,0,2018.83,0,3867.06,0,895.88,0,187.92,147.16
2/8/22,0,0,0,0,0,0,0,0,0,0,0
2/9/22,0.002789,0,0,1917.44,0,3218.42,0,695.38,0,121.71,95.31
2/10/22,0.001621,0,0,721.63,0,2080.75,0,494.9,0,121.85,95.42
2/11/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/12/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/13/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/14/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/15/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/16/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/17/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/18/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/19/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/20/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/21/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/22/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/23/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/24/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/25/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/26/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/27/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
2/28/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
3/1/22,0.000961,0,0,493.81,0,1216.12,0,267.22,0,60,46.99
3/2/22,0.001362,0,0,553.93,0,1950.1,0,346.05,0,57.32,44.89
3/3/22,0.0015,0,0,411.7,0,2081.51,0,540,0,122.3,95.78
3/4/22,0.001193,0,0,382.98,0,1568.55,0,422.1,0,120.39,94.28
3/5/22,0.000931,0,0,312,0,1311.05,0,273.65,0,67.8,53.1
3/6/22,0.000675,0,0,248.17,0,916.4,0,203.85,0,53.86,42.18
3/7/22,0.000805,0,0,290.62,0,1102.13,0,262.07,0,51.08,40
3/8/22,0.000428,0,0,182.65,0,586.95,0,122.2,0,20.42,15.98
3/9/22,0.000507,0,0,165.1,0,707.85,0,165.75,0,33.9,26.55
3/10/22,0.000502,0,0,194.42,0,665.33,0,152.87,0,41.97,32.86
3/11/22,0.000664,0,0,239.07,0,893.65,0,219.45,0,48.76,38.18
3/12/22,0.000664,0,0,237.25,0,882.05,0,202.8,0,65.25,51.1
3/13/22,0.000811,0,0,265.2,0,1092,0,277.55,0,68.54,53.66
3/14/22,0.000727,0,0,237.97,0,994.88,0,247.77,0,53.63,42
3/15/22,0.000492,0,0,171.67,0,688.73,0,153.52,0,29.94,23.45
3/16/22,0.00061,0,0,225.1,0,781.78,0,188.88,0,70.49,55.2
3/17/22,0,0,0,0,0,0,0,0,0,0,0
3/18/22,0.001355,0,0,567.9,0,1762.84,0,415.58,0,107.13,83.9
3/19/22,0,0,0,0,0,0,0,0,0,0,0
3/20/22,0.001162,0,0,453.43,0,1535.61,0,376.45,0,85.58,67.02
3/21/22,0.00051,0,0,161.85,0,715,0,172.25,0,31.71,24.84
3/22/22,0.000476,0,0,147.55,0,675.35,0,172.25,0,20.42,15.98
3/23/22,0.000192,0,0,54.73,0,271.15,0,67.2,0,12.49,9.78
3/24/22,0,0,0,0,0,0,0,0,0,0,0
3/25/22,0.001016,0,0,355.1,0,1422.03,0,310.43,0,64.3,50.35
3/26/22,0.000633,0,0,284.05,0,840.45,0,163.8,0,47.39,37.11
3/27/22,0.000586,0,0,230.69,0,795.87,0,174.08,0,39.69,31.08
3/28/22,0.000517,0,0,217.1,0,668.2,0,173.55,0,34.63,27.12
3/29/22,0.000453,0,0,159.9,0,642.2,0,146.9,0,18.95,14.85
3/30/22,0.000448,0,0,137.93,0,648.8,0,140,0,25.25,19.77
3/31/22,0.000537,0,0,191.3,0,707.03,0,179.78,0,48.26,37.79
4/1/22,0.000421,0,0,192,0,560.51,0,111.65,0,27.53,21.55
4/2/22,0.000491,0,0,197.02,0,682.23,0,128.17,0,31.4,24.59
4/3/22,0.000593,0,0,248.3,0,813.8,0,166.4,0,32.81,25.69
4/4/22,0.000525,0,0,191.75,0,718.9,0,161.85,0,36.09,28.26
4/5/22,0.000402,0,0,174.85,0,537.55,0,115.7,0,25.16,19.7
4/6/22,0.000808,0,0,280.8,0,1145.95,0,258.05,0,37.54,29.41
4/7/22,0.000877,0,0,357.7,0,1167.23,0,287.68,0,50.08,39.22
4/8/22,0.001206,0,0,520.72,0,1620.18,0,340.07,0,75.5,59.13
4/9/22,0.001047,0,0,438.35,0,1405.51,0,304.05,0,67.99,53.24
4/10/22,0.001095,0,0,416.78,0,1501.6,0,335.65,0,66.8,52.31
4/11/22,0.000896,0,0,293.87,0,1275.03,0,282.87,0,51.08,40
4/12/22,0.000973,0,0,310.05,0,1424.15,0,295.75,0,45.2,35.4
4/13/22,0.000777,0,0,299,0,1115.4,0,205.4,0,36.82,28.83
4/14/22,0.000848,0,0,330.27,0,1182.73,0,241.27,0,47.07,36.86
4/15/22,0.00116,0,0,439.72,0,1615.84,0,328.88,0,73.14,57.28
4/16/22,0.001006,0,0,375.18,0,1446.35,0,258.95,0,56.23,44.04
4/17/22,0.001158,0,0,418.2,0,1663.56,0,322.9,0,59.97,46.96
4/18/22,0.001065,0,0,360.75,0,1527.5,0,324.35,0,54.31,42.54
4/19/22,0.000939,0,0,301.6,0,1368.25,0,277.55,0,49.21,38.54
4/20/22,0.000745,0,0,263.97,0,1111.23,0,184.07,0,31.03,24.3
4/21/22,0.000944,0,0,325.91,0,1368.93,0,263.33,0,49.67,38.9
4/22/22,0.000944,0,0,325.91,0,1368.93,0,263.33,0,49.67,38.9
4/23/22,0.000944,0,0,325.91,0,1368.93,0,263.33,0,49.67,38.9
4/24/22,0.000944,0,0,325.91,0,1368.93,0,263.33,0,49.67,38.9
4/25/22,0.000944,0,0,325.91,0,1368.93,0,263.33,0,49.67,38.9
4/26/22,0.000944,0,0,325.91,0,1368.93,0,263.33,0,49.67,38.9
4/27/22,0.001574,0,0,563.03,0,2320.6,0,400.65,0,71.91,56.31
4/28/22,0.001008,0,0,435.75,0,1364.56,0,273.5,0,62.16,48.67
4/29/22,0.001601,0,0,654.25,0,2290.07,0,389.71,0,77.36,60.57
4/30/22,0.001601,0,0,654.25,0,2290.07,0,389.71,0,77.36,60.57
5/1/22,0.001392,0,0,497.74,0,2029.27,0,355.86,0,75.94,59.47
5/2/22,0.001392,0,0,497.74,0,2029.27,0,355.86,0,75.94,59.47
5/3/22,0.00055,0,0,226.85,0,795.6,0,130,0,22.24,17.41
5/4/22,0.000919,0,0,359.38,0,1308.59,0,247.48,0,43.8,34.3
5/5/22,0.001474,0,0,603.71,0,2057.67,0,387.11,0,83.12,65.09
5/6/22,0.001071,0,0,382.13,0,1578.99,0,240.33,0,67.5,52.85
5/7/22,0.000958,0,0,281.67,0,1420.2,0,257.82,0,66.01,51.69
5/8/22,0.000958,0,0,281.67,0,1420.2,0,257.82,0,66.01,51.69
5/9/22,0.000868,0,0,343.27,0,1254.88,0,204.87,0,44.88,35.15
5/10/22,0.000492,0,0,184.73,0,718.35,0,134.8,0,16.5,12.92
5/11/22,0.000935,0,0,293.93,0,1412.55,0,250.5,0,39.1,30.62
5/12/22,0.001585,0,0,458.45,0,2394.43,0,421.58,0,90.55,70.9
5/13/22,0.001171,0,0,281.65,0,1740.53,0,382.58,0,75.6,59.2
5/14/22,0.000707,0,0,231.07,0,1050.34,0,170.93,0,44.71,35.01
5/15/22,0.000609,0,0,197.25,0,892.3,0,174.15,0,32.02,25.08
5/16/22,0.000609,0,0,197.25,0,892.3,0,174.15,0,32.02,25.08
5/17/22,0.000609,0,0,197.25,0,892.3,0,174.15,0,32.02,25.08
5/18/22,0.00046,0,0,150.93,0,665.05,0,130.9,0,28.89,22.63
5/19/22,0.000612,0,0,120.97,0,961.08,0,160.67,0,47.8,37.43
5/20/22,0.000671,0,0,155.35,0,1053.65,0,174.2,0,40.46,31.69
5/21/22,0.000579,0,0,141.9,0,883.83,0,149.88,0,43.88,34.37
5/22/22,0.000618,0,0,155.48,0,900.35,0,190.7,0,52.59,41.18
5/23/22,0.000504,0,0,154.18,0,715.1,0,160.8,0,34.72,27.19
5/24/22,0.0003,0,0,104.72,0,459.93,0,67.07,0,10.99,8.6
5/25/22,0.000274,0,0,81.25,0,421.85,0,73.45,0,9.84,7.71
5/26/22,0.000246,0,0,56.62,0,392.98,0,69.67,0,7.7,6.03
5/27/22,0.000423,0,0,112.45,0,625.3,0,126.1,0,30.26,23.69
5/28/22,0.000545,0,0,120.25,0,848.9,0,132.6,0,44.84,35.11
5/29/22,0.000546,0,0,105.68,0,799.81,0,170.4,0,60.79,47.61
5/30/22,0.000461,0,0,123.82,0,696.74,0,131.93,0,26.12,20.45
5/31/22,0.000244,0,0,70.92,0,379.33,0,64.47,0,8.43,6.6
6/1/22,0.000439,0,0,118.95,0,638.95,0,117.65,0,43.02,33.68
6/2/22,0.000435,0,0,89.18,0,657.9,0,135.45,0,34,26.62
6/3/22,0.000443,0,0,98.33,0,684.15,0,114.08,0,35.96,28.16
6/4/22,0.001702,0,0,346.58,0,2554.6,0,504,0,159.76,125.11
6/5/22,0.001197,0,0,225.03,0,1892.9,0,340.2,0,77.74,60.88
6/6/22,0.000722,0,0,181.55,0,1030.73,0,222.03,0,72.68,56.91
6/7/22,0.000227,0,0,60.55,0,344.09,0,59.66,0,15.2,11.9
6/8/22,0.000227,0,0,60.55,0,344.09,0,59.66,0,15.2,11.9
6/9/22,0.000482,0,0,99,0,694.68,0,156.38,0,53.73,42.07
6/10/22,0.00045,0,0,70.92,0,718.63,0,124.92,0,33.95,26.59
6/11/22,0,0,0,0,0,0,0,0,0,0,0
6/12/22,0.000463,0,0,73.7,0,718.46,0,124,0,50.13,39.25
6/13/22,0,0,0,0,0,0,0,0,0,0,0
6/14/22,0,0,0,0,0,0,0,0,0,0,0
6/15/22,0.00087,0,0,210.01,0,1251.5,0,238.63,0,105.14,82.33
6/16/22,0.000675,0,0,128.05,0.65,978.9,0.65,190.45,0,92.23,72.22
6/17/22,0.00027,0,0,49.47,1.3,366.98,1.3,77.47,0,49.99,39.14
6/18/22,0.000274,0,0,52.72,1.95,373.48,1.95,100.87,0,35.77,28.02
6/19/22,0.000481,0,0,77.15,2.6,671.49,2.6,146.48,0,79.79,62.48
6/20/22,0.000447,0,0,94.57,3.25,631.74,3.25,129.98,0,58.92,46.14
6/21/22,0.000179,0,0,34.9,3.9,263.29,3.9,52.23,0,16.37,12.82
6/22/22,0.000369,0,0,61.04,4.55,519.62,4.55,118.83,0,50.99,39.93
6/23/22,0,0,0,0,5.2,0,5.2,0,0,0,0
6/24/22,0.000692,0,0,97.3,5.85,984.79,5.85,236.83,0,95.11,74.48
6/25/22,0.000296,0,0,51.55,6.5,413.88,6.5,80.98,0,46.8,36.65
6/26/22,0.000565,0,0,87.09,7.15,839.02,7.15,189.1,0,53.33,41.76
6/27/22,0.000313,0,0,71.82,7.8,410.74,7.8,103.98,0,42.52,33.3
6/28/22,0.000083,0,0,8.58,8.45,115.8,8.45,26.9,0,5.93,4.64
6/29/22,0.000166,0,0,27.5,9.1,230.58,9.1,54.33,0,16.18,12.67
6/30/22,0.000373,0,0,96.52,9.75,482.89,9.75,118.28,0,51.63,40.43
7/1/22,0.000202,0,0,30.82,10.4,263.72,10.4,65.59,0,32.06,25.11
7/2/22,0.000296,0,0,51.48,11.05,427.8,11.05,67.2,0,41.29,32.33
7/3/22,0.000317,0,0,36.07,11.7,438.69,11.7,92.28,0,54.55,42.72
7/4/22,0.000158,0,0,23.72,12.35,231.99,12.35,31.83,0,16.64,13.03
7/5/22,0.00014,0,0,23.85,13,171.64,13,56.78,0,14.18,11.1
7/6/22,0.00019,0,0,28.08,13.65,243.85,13.65,59.4,0,29.62,23.2
7/7/22,0.000357,0,0,51.93,14.3,496.74,14.3,122.03,0,41.98,32.87
7/8/22,0.000486,0,0,59.93,14.95,674.15,14.95,158.85,0,73.37,57.45
7/9/22,0.000224,0,0,19.23,15.6,257.71,15.6,102.8,0,41.11,32.19
7/10/22,0.000268,0,0,36.98,16.25,349.84,16.25,88.23,0,41.25,32.3
7/11/22,0.000174,0,0,13.78,16.9,189.25,16.9,64.6,0,43.11,33.75
7/12/22,0.000139,0,0,4.68,17.55,150.9,17.55,48.35,0,34.72,27.19
7/13/22,0.000263,0,0,44.29,5.07,384.22,0,137.39,0,0,0
7/14/22,0.000263,0,0,44.29,5.07,384.22,0,137.39,0,0,0
7/15/22,0.000254,0,0,38.2,4.37,396.91,0,111.58,0,0,0
7/16/22,0.000254,0,0,38.2,4.37,396.91,0,111.58,0,0,0
7/17/22,0.000254,0,0,38.2,4.37,396.91,0,111.58,0,0,0
7/18/22,0.000426,0,0,64.32,7.36,593.8,0,258.38,0,0,0
7/19/22,0.00028,0,0,38.32,4.39,423.25,0,139.68,0,0,0
7/20/22,0.00028,0,0,38.32,4.39,423.25,0,139.68,0,0,0
7/21/22,0.000207,0,0,239.17,27.38,137.64,0,45,0,0,0
7/22/22,0.000291,0,0,81.65,9.35,408.2,0,130.65,0,0,0
7/23/22,0.000328,0,0,358.21,41.01,246.69,0,65.77,0,0,0
7/24/22,0.000601,0,0,485.36,55.56,572.99,0,189.92,0,0,0
7/25/22,0.000741,0,0,1024.85,117.32,334.44,0,130.77,0,0,0
7/26/22,0.000434,0,0,662.18,75.8,157.34,0,46.38,0,0,0
7/27/22,0.001221,0,0,1759.72,201.45,533.99,0,152.22,0,0,0
7/28/22,0.001262,0,0,1951.65,223.42,442.46,0,119.1,0,0,0
7/29/22,0.001128,0,0,1719.2,196.81,405.67,0,125.26,0,0,0
7/30/22,0.000774,0,0,1226.03,140.35,239.04,0,73.14,0,0,0
7/31/22,0.000774,0,0,1226.03,140.35,239.04,0,73.14,0,0,0
8/1/22,0.000774,0,0,1226.03,140.35,239.04,0,73.14,0,0,0
8/2/22,0.000774,0,0,1226.03,140.35,239.04,0,73.14,0,0,0
8/3/22,0.000774,0,0,1226.03,140.35,239.04,0,73.14,0,0,0
8/4/22,0.001819,0,0,2785.25,318.85,696.53,0,142.69,0,0,0
8/5/22,0.001104,0,0,1403.26,160.64,617.5,0,212.55,0,0,0
8/6/22,0.001139,0,0,1563.28,178.96,544.74,0,183.53,0,0,0
8/7/22,0.000865,0,0,1140.54,130.57,464.48,0,140.74,0,0,0
8/8/22,0.000489,0,0,736.14,84.27,177.14,0,62.52,0,0,0
8/9/22,0.000668,0,0,922.99,105.66,318.88,0,101.09,0,0,0
8/10/22,0.000939,0,0,1312.27,150.23,444.6,0,130,0,0,0
8/11/22,0.000414,0,0,433.87,49.67,257.87,0,100.43,0,0,0
8/12/22,0.000414,0,0,433.87,49.67,257.87,0,100.43,0,0,0
8/13/22,0.000414,0,0,433.87,49.67,257.87,0,100.43,0,0,0
8/14/22,0.000414,0,0,433.87,49.67,257.87,0,100.43,0,0,0
8/15/22,0.000414,0,0,433.87,49.67,257.87,0,100.43,0,0,0
8/16/22,0.00034,0,0,389.71,44.61,207.04,0,57.32,0,0,0
8/17/22,0.000569,0,0,509.73,58.35,433.02,0,140.19,0,0,0
8/18/22,0.000569,0,0,509.73,58.35,433.02,0,140.19,0,0,0
8/19/22,0.000569,0,0,509.73,58.35,433.02,0,140.19,0,0,0
8/20/22,0.000569,0,0,509.73,58.35,433.02,0,140.19,0,0,0
8/21/22,0.000569,0,0,509.73,58.35,433.02,0,140.19,0,0,0
8/22/22,0.000569,0,0,509.73,58.35,433.02,0,140.19,0,0,0
8/23/22,0.000569,0,0,509.73,58.35,433.02,0,140.19,0,0,0
8/24/22,0.000322,0,0,204.48,23.41,326.79,0,93.33,0,0,0
8/25/22,0.000322,0,0,204.48,23.41,326.79,0,93.33,0,0,0
8/26/22,0.001032,0,0,803.22,91.95,914.57,0,254.92,0,0,0
8/27/22,0.001032,0,0,803.22,91.95,914.57,0,254.92,0,0,0
8/28/22,0.000303,0,0,205.6,23.54,295.66,0,84.83,0,0,0
8/29/22,0.000303,0,0,205.6,23.54,295.66,0,84.83,0,0,0
8/30/22,0.000303,0,0,205.6,23.54,295.66,0,84.83,0,0,0
8/31/22,0.000462,0,0,415.26,47.54,378.3,0,88.4,0,0,0
8/31/22,0.000462,0,0,415.26,47.54,378.3,0,88.4,0,0,0
9/1/22,0.000764,0,0,528.22,60.47,725.58,0,211.2,0,0,0
9/2/22,0.000764,0,0,528.22,60.47,725.58,0,211.2,0,0,0
9/3/22,0.000764,0,0,528.22,60.47,725.58,0,211.2,0,0,0
9/4/22,0.000764,0,0,528.22,60.47,725.58,0,211.2,0,0,0
9/5/22,0.000294,0,0,212.78,24.36,267.46,0,84.38,0,0,0
9/6/22,0.000376,0,0,248.09,28.4,361.44,0,100.98,0,0,0
